u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,est_width,access
37311613,40627673,0,60420437,2,Southeast Clatsop Street,tertiary,20 mph,False,27.001,"LINESTRING (-122.6000193 45.4614378, -122.5996731 45.4614388)",,,,
37311613,37452559,0,60420437,2,Southeast Clatsop Street,tertiary,20 mph,False,117.143,"LINESTRING (-122.6000193 45.4614378, -122.6011654 45.4614329, -122.6014263 45.4614336, -122.6015211 45.4614378)",,,,
37452559,40594693,0,31526965,2,Southeast Flavel Drive,tertiary,20 mph,False,110.204,"LINESTRING (-122.6015211 45.4614378, -122.601527 45.4615687, -122.6015388 45.4616369, -122.6015593 45.4616991, -122.6015859 45.4617521, -122.6016115 45.4617957, -122.6016523 45.4618525, -122.601691 45.4618982, -122.6017451 45.461952, -122.6018453 45.4620318, -122.6019436 45.4620996, -122.6020229 45.4621468, -122.602118 45.4621992, -122.6022128 45.4622452)",,,,
37452559,37311613,0,60420437,2,Southeast Clatsop Street,tertiary,20 mph,False,117.143,"LINESTRING (-122.6015211 45.4614378, -122.6014263 45.4614336, -122.6011654 45.4614329, -122.6000193 45.4614378)",,,,
37452559,8526891262,0,125677931,,Southeast Harney Drive,tertiary,20 mph,False,70.865,"LINESTRING (-122.6015211 45.4614378, -122.6016964 45.4614419, -122.6019854 45.4614555, -122.6022127 45.4614679, -122.6023145 45.4614775, -122.6024161 45.4614947, -122.6024238 45.461497)",,,,
37464301,40603532,0,5542492,,Southeast 65th Avenue,residential,20 mph,False,101.032,"LINESTRING (-122.5965991 45.4614416, -122.5965987 45.4623502)",,,,
37464301,454072403,0,60420437,2,Southeast Clatsop Street,tertiary,20 mph,False,79.145,"LINESTRING (-122.5965991 45.4614416, -122.5955843 45.4614417)",,,,
37464301,454072495,0,60420437,2,Southeast Clatsop Street,tertiary,20 mph,False,80.385,"LINESTRING (-122.5965991 45.4614416, -122.5973964 45.4614402, -122.5976298 45.4614398)",,,,
40389766,40389767,0,5510322,,,service,,False,68.585,"LINESTRING (-122.5845804 45.470032, -122.5845827 45.4694152)",,,,
40389766,40528859,0,5521825,,Southeast Henderson Street,residential,20 mph,False,122.989,"LINESTRING (-122.5845804 45.470032, -122.5830032 45.4700296)",,,,
