osmid,y,x,street_count,highway,geometry
37311613,45.4614378,-122.6000193,3,,POINT (-122.6000193 45.4614378)
37452559,45.4614378,-122.6015211,4,,POINT (-122.6015211 45.4614378)
37464301,45.4614416,-122.5965991,4,,POINT (-122.5965991 45.4614416)
40389766,45.470032,-122.5845804,3,,POINT (-122.5845804 45.470032)
40389767,45.4694152,-122.5845827,1,,POINT (-122.5845827 45.4694152)
40393754,45.4726463,-122.581538,1,,POINT (-122.581538 45.4726463)
40393757,45.4720518,-122.5815522,3,,POINT (-122.5815522 45.4720518)
40421827,45.4650775,-122.5867284,3,,POINT (-122.5867284 45.4650775)
40421829,45.4656601,-122.5867254,3,,POINT (-122.5867254 45.4656601)
40421833,45.4656573,-122.5873064,1,turning_circle,POINT (-122.5873064 45.4656573)
40426663,45.46305,-122.604653,1,,POINT (-122.604653 45.46305)
40426678,45.4624157,-122.6042811,3,,POINT (-122.6042811 45.4624157)
40429961,45.466315,-122.583048,1,,POINT (-122.583048 45.466315)
40430702,45.4658461,-122.6005052,3,,POINT (-122.6005052 45.4658461)
40430704,45.4654066,-122.6005062,1,,POINT (-122.6005062 45.4654066)
40430710,45.4658399,-122.5996242,4,,POINT (-122.5996242 45.4658399)
40430712,45.465841,-122.5988019,1,,POINT (-122.5988019 45.465841)
40431268,45.4686623,-122.5840309,3,,POINT (-122.5840309 45.4686623)
40431269,45.4693707,-122.5840263,1,,POINT (-122.5840263 45.4693707)
40435495,45.4665269,-122.6083037,3,,POINT (-122.6083037 45.4665269)
40435506,45.4665528,-122.6073738,4,,POINT (-122.6073738 45.4665528)
40435507,45.46655,-122.604788,4,,POINT (-122.604788 45.46655)
40435508,45.4665458,-122.6021822,4,,POINT (-122.6021822 45.4665458)
40435510,45.4665415,-122.5996086,3,,POINT (-122.5996086 45.4665415)
40435517,45.466384,-122.592026,1,,POINT (-122.592026 45.466384)
40435518,45.4663865,-122.591391,3,,POINT (-122.591391 45.4663865)
40435520,45.4663903,-122.5893646,3,,POINT (-122.5893646 45.4663903)
40439150,45.4650556,-122.5893687,3,,POINT (-122.5893687 45.4650556)
40439153,45.4650732,-122.5874417,3,,POINT (-122.5874417 45.4650732)
40439158,45.4650796,-122.586135,4,,POINT (-122.586135 45.4650796)
40439163,45.4650847,-122.5848777,3,,POINT (-122.5848777 45.4650847)
40439166,45.4650848,-122.5835845,3,,POINT (-122.5835845 45.4650848)
40439169,45.4650895,-122.5832544,3,,POINT (-122.5832544 45.4650895)
40439175,45.4650913,-122.5822759,3,,POINT (-122.5822759 45.4650913)
40439184,45.4651015,-122.5790503,4,,POINT (-122.5790503 45.4651015)
40439197,45.4648624,-122.5932069,3,,POINT (-122.5932069 45.4648624)
40439199,45.4648511,-122.5893706,3,,POINT (-122.5893706 45.4648511)
40440067,45.4718957,-122.6160012,4,,POINT (-122.6160012 45.4718957)
40440069,45.4718989,-122.614574,3,,POINT (-122.614574 45.4718989)
40440074,45.471896,-122.6139924,4,,POINT (-122.6139924 45.471896)
40440077,45.4718979,-122.6120101,4,,POINT (-122.6120101 45.4718979)
40440083,45.4718777,-122.6099976,4,,POINT (-122.6099976 45.4718777)
40440089,45.4718668,-122.6073681,4,,POINT (-122.6073681 45.4718668)
40440093,45.4718692,-122.6048597,3,,POINT (-122.6048597 45.4718692)
40440106,45.4717488,-122.5893489,3,,POINT (-122.5893489 45.4717488)
40440107,45.4717506,-122.587445,3,,POINT (-122.587445 45.4717506)
40440110,45.4717477,-122.5855553,4,,POINT (-122.5855553 45.4717477)
40440113,45.4717395,-122.5840464,3,,POINT (-122.5840464 45.4717395)
40440116,45.4717367,-122.5837651,1,,POINT (-122.5837651 45.4717367)
40440318,45.4744312,-122.60922,3,,POINT (-122.60922 45.4744312)
40440325,45.4745429,-122.614577,3,,POINT (-122.614577 45.4745429)
40440330,45.4744954,-122.6134498,3,,POINT (-122.6134498 45.4744954)
40448068,45.466857,-122.5861136,3,,POINT (-122.5861136 45.466857)
40448076,45.4632846,-122.5861708,4,,POINT (-122.5861708 45.4632846)
40448089,45.4616238,-122.5861484,1,,POINT (-122.5861484 45.4616238)
